movieId,title,rating,genre
1,Toy Story (1995),5.0,Adventure
1,Toy Story (1995),5.0,Animation
1,Toy Story (1995),5.0,Children
1,Toy Story (1995),5.0,Comedy
1,Toy Story (1995),5.0,Fantasy
5,Father of the Bride Part II (1995),4.5,Comedy
47,Seven (a.k.a. Se7en) (1995),2.75,Mystery
47,Seven (a.k.a. Se7en) (1995),2.75,Thriller
104,Happy Gilmore (1996),2.0,Comedy
111,Taxi Driver (1976),5.0,Crime
111,Taxi Driver (1976),5.0,Drama
111,Taxi Driver (1976),5.0,Thriller
150,Apollo 13 (1995),3.75,Adventure
150,Apollo 13 (1995),3.75,Drama
150,Apollo 13 (1995),3.75,IMAX
186,Nine Months (1995),2.5,Comedy
186,Nine Months (1995),2.5,Romance
215,Before Sunrise (1995),5.0,Drama
215,Before Sunrise (1995),5.0,Romance
236,French Kiss (1995),3.0,Action
236,French Kiss (1995),3.0,Comedy
236,French Kiss (1995),3.0,Romance
246,Hoop Dreams (1994),4.0,Documentary
247,Heavenly Creatures (1994),5.0,Crime
247,Heavenly Creatures (1994),5.0,Drama
260,Star Wars: Episode IV - A New Hope (1977),4.5,Action
260,Star Wars: Episode IV - A New Hope (1977),4.5,Adventure
260,Star Wars: Episode IV - A New Hope (1977),4.5,Sci-Fi
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.5,Action
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.5,Crime
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.5,Drama
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.5,Thriller
296,Pulp Fiction (1994),4.5,Comedy
296,Pulp Fiction (1994),4.5,Crime
296,Pulp Fiction (1994),4.5,Drama
296,Pulp Fiction (1994),4.5,Thriller
318,"Shawshank Redemption, The (1994)",4.75,Crime
318,"Shawshank Redemption, The (1994)",4.75,Drama
337,What's Eating Gilbert Grape (1993),5.0,Drama
339,While You Were Sleeping (1995),2.5,Comedy
339,While You Were Sleeping (1995),2.5,Romance
350,"Client, The (1994)",3.0,Drama
350,"Client, The (1994)",3.0,Mystery
350,"Client, The (1994)",3.0,Thriller
357,Four Weddings and a Funeral (1994),2.0,Comedy
357,Four Weddings and a Funeral (1994),2.0,Romance
377,Speed (1994),2.0,Action
377,Speed (1994),2.0,Romance
377,Speed (1994),2.0,Thriller
520,Robin Hood: Men in Tights (1993),3.0,Comedy
529,Searching for Bobby Fischer (1993),4.0,Drama
541,Blade Runner (1982),3.5,Action
541,Blade Runner (1982),3.5,Sci-Fi
541,Blade Runner (1982),3.5,Thriller
587,Ghost (1990),4.0,Comedy
587,Ghost (1990),4.0,Drama
587,Ghost (1990),4.0,Fantasy
587,Ghost (1990),4.0,Romance
587,Ghost (1990),4.0,Thriller
608,Fargo (1996),3.25,Comedy
608,Fargo (1996),3.25,Crime
608,Fargo (1996),3.25,Drama
608,Fargo (1996),3.25,Thriller
628,Primal Fear (1996),5.0,Crime
628,Primal Fear (1996),5.0,Drama
628,Primal Fear (1996),5.0,Mystery
628,Primal Fear (1996),5.0,Thriller
661,James and the Giant Peach (1996),3.0,Adventure
661,James and the Giant Peach (1996),3.0,Animation
661,James and the Giant Peach (1996),3.0,Children
661,James and the Giant Peach (1996),3.0,Fantasy
661,James and the Giant Peach (1996),3.0,Musical
741,Ghost in the Shell (Kôkaku kidôtai) (1995),5.0,Animation
741,Ghost in the Shell (Kôkaku kidôtai) (1995),5.0,Sci-Fi
745,Wallace & Gromit: A Close Shave (1995),4.5,Animation
745,Wallace & Gromit: A Close Shave (1995),4.5,Children
745,Wallace & Gromit: A Close Shave (1995),4.5,Comedy
778,Trainspotting (1996),5.0,Comedy
778,Trainspotting (1996),5.0,Crime
778,Trainspotting (1996),5.0,Drama
904,Rear Window (1954),4.0,Mystery
904,Rear Window (1954),4.0,Thriller
924,2001: A Space Odyssey (1968),1.0,Adventure
924,2001: A Space Odyssey (1968),1.0,Drama
924,2001: A Space Odyssey (1968),1.0,Sci-Fi
954,Mr. Smith Goes to Washington (1939),4.5,Drama
1028,Mary Poppins (1964),5.0,Children
1028,Mary Poppins (1964),5.0,Comedy
1028,Mary Poppins (1964),5.0,Fantasy
1028,Mary Poppins (1964),5.0,Musical
1036,Die Hard (1988),3.5,Action
1036,Die Hard (1988),3.5,Crime
1036,Die Hard (1988),3.5,Thriller
1059,William Shakespeare's Romeo + Juliet (1996),5.0,Drama
1059,William Shakespeare's Romeo + Juliet (1996),5.0,Romance
1061,Sleepers (1996),4.0,Thriller
1079,"Fish Called Wanda, A (1988)",4.5,Comedy
1079,"Fish Called Wanda, A (1988)",4.5,Crime
